baseChange	eff	Count
G>C	Nonsyn	18
G>C	Syn	0
G>C	Non-Coding	0
G>A	Nonsyn	33
G>A	Syn	18
G>A	Non-Coding	5
A>U	Nonsyn	4
A>U	Syn	0
A>U	Non-Coding	0
U>G	Nonsyn	15
U>G	Syn	0
U>G	Non-Coding	0
U>C	Nonsyn	26
U>C	Syn	10
U>C	Non-Coding	0
U>A	Nonsyn	2
U>A	Syn	1
U>A	Non-Coding	0
C>A	Nonsyn	26
C>A	Syn	4
C>A	Non-Coding	0
A>C	Nonsyn	3
A>C	Syn	0
A>C	Non-Coding	0
A>G	Nonsyn	121
A>G	Syn	4
A>G	Non-Coding	1
G>U	Nonsyn	88
G>U	Syn	6
G>U	Non-Coding	2
C>U	Nonsyn	172
C>U	Syn	239
C>U	Non-Coding	100
C>G	Nonsyn	5
C>G	Syn	0
C>G	Non-Coding	0
