baseChange	eff	Count
U>A	Nonsyn	2
U>A	Syn	1
U>A	Non-Coding	0
U>C	Nonsyn	5
U>C	Syn	8
U>C	Non-Coding	0
U>G	Nonsyn	1
U>G	Syn	0
U>G	Non-Coding	0
A>U	Nonsyn	4
A>U	Syn	0
A>U	Non-Coding	0
G>C	Nonsyn	4
G>C	Syn	0
G>C	Non-Coding	0
G>A	Nonsyn	13
G>A	Syn	4
G>A	Non-Coding	0
C>A	Nonsyn	9
C>A	Syn	2
C>A	Non-Coding	0
C>U	Nonsyn	24
C>U	Syn	16
C>U	Non-Coding	0
G>U	Nonsyn	28
G>U	Syn	4
G>U	Non-Coding	1
A>C	Nonsyn	1
A>C	Syn	0
A>C	Non-Coding	0
A>G	Nonsyn	6
A>G	Syn	4
A>G	Non-Coding	1
C>G	Nonsyn	2
C>G	Syn	0
C>G	Non-Coding	0
