Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_402132,GISAID,"EPI_ISL_402132,",Complete,29848,High,Homo sapiens,China / Hubei,Asia,China,Hubei
EPI_ISL_403963,GISAID,"EPI_ISL_403963,",Complete,29859,High,Homo sapiens,Thailand/ Nonthaburi Province,Asia,China,Hubei
EPI_ISL_403962,GISAID,"EPI_ISL_403962,",Complete,29848,High,Homo sapiens,Thailand/ Nonthaburi Province,Asia,China,Hubei
EPI_ISL_402120,GISAID,"EPI_ISL_402120,",Complete,29896,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402119,GISAID,"EPI_ISL_402119,",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402121,GISAID,"EPI_ISL_402121,",Complete,29891,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_402125,GenBank,"MN908947,NC_045512, EPI_ISL_402125",Complete,29903,High,Homo sapiens,China / Hubei / Wuhan,Asia,China,Hubei
EPI_ISL_404227,GISAID,"EPI_ISL_404227,",Complete,29839,High,Homo sapiens,China / Zhejiang,Asia,China,Zhejiang
EPI_ISL_404228,GISAID,"EPI_ISL_404228,",Complete,29859,High,Homo sapiens,China / Zhejiang,Asia,China,Zhejiang
EPI_ISL_403937,GISAID,"EPI_ISL_403937,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Zhuhai City,Asia,China,Guangdong
EPI_ISL_403936,GISAID,"EPI_ISL_403936,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Zhuhai City,Asia,China,Guangdong
EPI_ISL_403935,GISAID,"EPI_ISL_403935,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_403934,GISAID,"EPI_ISL_403934,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_403933,GISAID,"EPI_ISL_403933,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Shenzhen City,Asia,China,Guangdong
EPI_ISL_403932,GISAID,"EPI_ISL_403932,",Complete,29845,High,Homo sapiens,China / Guangdong Province / Shenzhen City,Asia,China,Guangdong
