posi	dep1_4	dep1_2	dep3_4
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	1
17	0	0	1
18	0	0	1
19	0	0	1
20	0	0	1
21	0	0	1
22	0	0	2
23	0	0	4
24	0	3	43
25	0	6	47
26	0	12	84
27	0	20	111
28	0	65	366
29	0	106	708
30	0	300	1920
31	0	1613	7565
32	0	1856	8576
33	0	2406	11363
34	0	4492	18809
35	0	5100	19971
36	0	5658	19990
37	0	5957	19993
38	0	6016	19993
39	0	6087	19999
40	0	6167	19998
41	0	6208	19986
42	0	6243	19999
43	0	6319	20000
44	0	6385	20001
45	0	6476	20001
46	0	6497	20003
47	0	6539	20002
48	0	6561	20003
49	0	6562	20002
50	0	6574	20002
51	0	6581	20003
52	0	6583	20003
53	0	6593	20003
54	0	6595	20002
55	37	16382	20000
56	37	16417	20001
57	37	16429	20001
58	34	16398	19948
59	34	16435	19976
60	34	16454	19968
61	34	16477	19966
62	34	16470	19947
63	34	16464	19946
64	34	16474	19921
65	34	16477	19865
66	34	16469	19918
67	34	16463	19878
68	34	16472	19863
69	34	16471	19856
70	34	16446	19866
71	34	16285	19697
72	34	16071	19475
73	34	16025	19464
74	34	15960	19280
75	34	15849	19615
76	34	5667	11633
77	34	4786	11047
78	31	369	2422
79	31	319	2476
80	29	323	2517
81	29	305	2512
82	29	305	2545
83	29	305	2585
84	29	305	2620
85	29	305	2677
86	28	304	2750
87	28	304	2819
88	28	303	2943
89	28	308	2963
90	28	309	3022
91	28	312	3106
92	28	316	3187
93	28	321	3247
94	28	324	3281
95	28	327	3350
96	28	331	3429
97	28	335	3497
98	28	334	3633
99	28	334	3709
100	28	334	3762
101	28	337	3822
102	28	340	3875
103	28	340	3899
104	28	340	3912
105	28	349	3961
106	28	359	4010
107	28	361	4064
108	28	367	4095
109	27	371	4184
110	27	377	4278
111	27	381	4374
112	27	389	4456
113	27	394	4511
114	27	407	4595
115	27	408	4610
